from_stop_id,to_stop_id,transfer_type
12841,12842,0
12841,12843,0
12841,12844,0
12841,12845,0
12841,12846,0
12841,12847,0
12842,12841,0
12842,12843,0
12842,12844,0
12842,12845,0
12842,12846,0
12842,12847,0
12843,12841,0
12843,12842,0
12843,12844,0
12843,12845,0
12843,12846,0
12843,12847,0
12844,12841,0
12844,12842,0
12844,12843,0
12844,12845,0
12844,12846,0
12844,12847,0
12845,12841,0
12845,12842,0
12845,12843,0
12845,12844,0
12845,12846,0
12845,12847,0
12846,12841,0
12846,12842,0
12846,12843,0
12846,12844,0
12846,12845,0
12846,12847,0
12847,12841,0
12847,12842,0
12847,12843,0
12847,12844,0
12847,12845,0
12847,12846,0
